сом;	 			silurus
рак;				crawfish
акула; 				shark
бабочка;			butterfly
бегемот;			hippopotamus
белка;				squirrel
бизон;				bison
белый медведь;		sea_bear
божья коровка;		ladybug
бурундук;			ground_squirrel
верблюд;			desert_ship
волк;				wolf
ворона;				crow
выдра;				otter
голубь;				pigeon
горилла;			gorilla
гриф;				griffon
дельфин;			dolphin
еж;					hedgehog
ёж;					hedgehog
енот;				coon
ерш;				ruff
ёрш;				ruff
жираф;				giraffe
жук;				bug
заяц;				hare
зебра;				zebra
зимородок;			kingfisher
зяблик;				chaffinch
игуана;				iguana
индюк;				turkey_cock
варан;				varan
воробей;			sparrow
горностай;			stoat
дятел;				pecker
зубатка;			lancet_fish
камбала;			fluke
кенгуру;			kangaroo
коала;				koala
кобра;				cobra
жираф;				giraffe
коза;				goat
колибри;			fly_bird
комар;				mosquito
корова;				cow
котёнок;			kitten
котенок;			kitten
косатка;			orca
краб;				crab
крокодил;			crocodile
крот;				talpa
кузнечик;			grasshopper
курица;				hen
ласточка;			martlet
лебедь;				swan
лев;				lion
леопард;			leopard
летучая мышь;		bat
лещ;				bream
лиса;				fox
лось;				elk
лошадь;				horse
лягушка;			frog
медведь;			bear
медуза;				jellyfish
морская звезда;		starfish
муравей;			ant
муравьед;			anteater
муфлон;				muflon
муха;				fly
мышь;				mouse
налим;				burbot
носач;				proboscis_monkey
носорог;			rhinoceros
овца;				sheep
окунь;				perch
олень;				dear
орел;				eagle
орёл;				eagle
павлин;				peacock
панда;				panda
пеликан;			pelican
пескарь;			gudgeon
петух;				cock
пингвин;			penguin
пиранья;			piranha
питон;				boa
пони;				pony
попугай;			parrot
птеродактиль;		pterodactyl
пума;				puma
пуффин;				puffin
пчела;				bee
рыба-лев;			lionfish
свинья;				pig
скат;				cramp_fish
скорпион;			scorpion
слон;				elephant
собака;				dog
сова;				owl
сороконожка;		centipede
страус;				ostrich
стрекоза;			dragonfly
судак;				pike_perch
сурикат;			meerkat
таракан;			cockroach
тигр;				tiger
сапсан;				peregrine
угорь;				eel
улитка;				ramshorn
утенок;				duckling
утёнок;				duckling
утконос;			duckbill
фламинго;			flamingo
хамелеон;			chameleon
цапля;				heron
цыпленок;			chuckie
цыплёнок;			chuckie
чайка;				gull
червяк;				worm
черепаха;			tortoise
шмель;				bumblebee
щука;				pike
ягненок;			lamb
ягнёнок;			lamb
ящерица;			lizard
